fp1/fp2,CFinUP,CFinDOWN,CFidUP0,CFidUP1,CFidDOWN0,CFidDOWN1,CFst0_0,CFst1_0,CFst0_1,CFst1_1,CFds0r0_0,CFds1r1_0,CFds0r0_1,CFds1r1_1,CFds0w0_0,CFds0w1_0,CFds1w0_0,CFds1w1_0,CFds0w0_1,CFds0w1_1,CFds1w0_1,CFds1w1_1,CFtr0_0,CFtr1_0,CFtr0_1,CFtr1_1,CFwd0_0,CFwd1_0,CFwd0_1,CFwd1_1,CFrd0_0,CFrd1_0,CFrd0_1,CFrd1_1,CFdrd0_0,CFdrd1_0,CFdrd0_1,CFdrd1_1,CFir0_0,CFir1_0,CFir0_1,CFir1_1,SAFs0,SAFs1,TFs0,TFs1,WDFs0,WDFs1,RDFs0,RDFs1,IRFs0,IRFs1,DRDFs0,DRDFs1
CFinUP,8%36,36%36,,,,,,,,,,,,,,,,,,,,,36%36,36%36,22%36,32%36,,,,,,,,,,,,,,,,,,,12%12,6%12,,,,,,,,
CFinDOWN,,0%36,,,,,,,,,,,,,,,,,,,,,0%36,0%36,18%36,18%36,,,,,,,,,,,,,,,,,,,0%12,12%12,,,,,,,,
CFidUP0,,,,24%36,,18%36,32%36,23%36,,,32%36,4%36,,,18%36,24%36,18%36,18%36,,,,,18%36,18%36,,,18%36,18%36,,,22%36,32%36,,,18%36,18%36,,,,,,,,,6%12,,6%12,,12%12,,,,6%12,
CFidUP1,,,,,18%36,,,,18%36,36%36,,,18%36,36%36,,,,,18%36,24%36,18%36,18%36,,,18%36,18%36,,,18%36,18%36,,,18%36,36%36,,,18%36,18%36,,,,,,,,6%12,,6%12,,12%12,,,,6%12
CFidDOWN0,,,,,,0%36,36%36,18%36,,,18%36,0%36,,,0%36,18%36,0%36,0%36,,,,,0%36,0%36,,,0%36,0%36,,,18%36,18%36,,,0%36,0%36,,,,,,,,,0%12,,0%12,,12%12,,,,0%12,
CFidDOWN1,,,,,,,,,18%36,36%36,,,18%36,36%36,,,,,0%36,18%36,0%36,0%36,,,18%36,18%36,,,0%36,0%36,,,0%36,36%36,,,0%36,0%36,,,,,,,,12%12,,0%12,,12%12,,,,0%12
CFst0_0,,,,,,,,,32%36,36%36,,,35%36,36%36,,,,,36%36,32%36,36%36,36%36,,,36%36,36%36,,,36%36,36%36,,,36%36,36%36,,,36%36,36%36,,,,,,,,12%12,,12%12,,12%12,,,,12%12
CFst1_0,,,,,,,,,26%36,36%36,,,22%36,36%36,,,,,18%36,23%36,18%36,18%36,,,26%36,19%36,,,18%36,18%36,,,18%36,36%36,,,18%36,18%36,,,,,,,,9%12,,6%12,,12%12,,,,6%12
CFst0_1,,,,,,,,,,,32%36,4%36,,,18%36,18%36,18%36,18%36,,,,,18%36,18%36,,,18%36,18%36,,,22%36,32%36,,,18%36,18%36,,,,,,,,,6%12,,6%12,,12%12,,,,6%12,
CFst1_1,,,,,,,,,,,36%36,36%36,,,36%36,36%36,36%36,36%36,,,,,36%36,36%36,,,36%36,36%36,,,36%36,36%36,,,36%36,36%36,,,,,,,,,12%12,,12%12,,12%12,,,,12%12,
