FP1/FP2,SAFs0,SAFs1,TFs0,TFs1,WDFs0,WDFs1,RDFs0,RDFs1,IRFs0,IRFs1,DRDFs0,DRDFs1
SAFs0,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12
SAFs1,,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12
TFs0,,,0%12,12%12,0%12,0%12,12%12,12%12,12%12,12%12,0%12,0%12
TFs1,,,,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12,12%12
WDFs0,,,,,0%12,0%12,12%12,12%12,12%12,12%12,0%12,0%12
WDFs1,,,,,,0%12,12%12,12%12,12%12,12%12,0%12,0%12
RDFs0,,,,,,,12%12,12%12,12%12,12%12,12%12,12%12
RDFs1,,,,,,,,12%12,12%12,12%12,12%12,12%12
IRFs0,,,,,,,,,12%12,12%12,12%12,12%12
IRFs1,,,,,,,,,,12%12,12%12,12%12
DRDFs0,,,,,,,,,,,0%12,0%12
DRDFs1,,,,,,,,,,,,0%12
