,CFinUP,CFinDOWN,CFidUP0,CFidUP1,CFidDOWN0,CFidDOWN1,CFst0_0,CFst1_0,CFst0_1,CFst1_1,CFds0r0_0,CFds1r1_0,CFds0r0_1,CFds1r1_1,CFds0w0_0,CFds0w1_0,CFds1w0_0,CFds1w1_0,CFds0w0_1,CFds0w1_1,CFds1w0_1,CFds1w1_1,CFtr0_0,CFtr1_0,CFtr0_1,CFtr1_1,CFwd0_0,CFwd1_0,CFwd0_1,CFwd1_1,CFrd0_0,CFrd1_0,CFrd0_1,CFrd1_1,CFdrd0_0,CFdrd1_0,CFdrd0_1,CFdrd1_1,CFir0_0,CFir1_0,CFir0_1,CFir1_1,SAFs0,SAFs1,TFs0,TFs1,WDFs0,WDFs1,RDFs0,RDFs1,IRFs0,IRFs1,DRDFs0,DRDFs1
CFinUP,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,12%12%48,12%12%48,0%12%48,0%12%48,0%12%48,0%12%48,0%12%48,0%12%48,0%12%48,0%12%48
CFinDOWN,N%N%N,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,12%12%48,12%12%48,0%12%48,0%12%48,0%12%48,0%12%48,0%12%48,0%12%48,0%12%48,0%12%48
CFidUP0,N%N%N,N%N%N,0%36%144,36%36%144,0%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48
CFidUP1,N%N%N,N%N%N,N%N%N,0%36%144,36%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48
CFidDOWN0,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48
CFidDOWN1,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48
CFst0_0,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48
CFst1_0,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48
CFst0_1,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48
CFst1_1,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48
CFds0r0_0,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48
CFds1r1_0,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48
CFds0r0_1,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48
CFds1r1_1,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48
CFds0w0_0,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48
CFds0w1_0,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,N%N%N,0%36%144,0%36%144,0%36%144,36%36%144,36%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,36%36%144,36%36%144,0%36%144,0%36%144,0%36%144,0%36%144,0%12%48,0%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,12%12%48,0%12%48,0%12%48,0%12%48,12%12%48
